file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,87,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,0
style.css,88,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,0
style.css,89,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,3
style.css,90,css,d9423522,PrishaMaiti,2026-04-15,23:57:40,-07:00,2026-04-15T23:57:40-07:00,0,39
style.css,91,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,12
style.css,92,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,14
style.css,93,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,20
style.css,94,css,d9423522,PrishaMaiti,2026-04-15,23:57:40,-07:00,2026-04-15T23:57:40-07:00,0,43
style.css,95,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,25
style.css,96,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,0
style.css,97,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,0
style.css,98,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,5
style.css,99,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,6
style.css,100,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,17
style.css,101,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,14
style.css,102,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,20
style.css,103,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,13
style.css,104,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,49
style.css,105,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,0
style.css,106,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,0
style.css,107,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,13
style.css,108,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,15
style.css,109,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,43
style.css,110,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,20
style.css,111,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,49
style.css,112,css,caa56360,PrishaMaiti,2026-04-10,21:07:13,-07:00,2026-04-10T21:07:13-07:00,0,0
